ProbeIDs	GAOM_10	GAOM_11	GAOM_3	GAOM_6
Batf	16	7	7	18
Batf2	0	0	0	0
Batf3	0	0	0	0
Bax	81	121	91	128
Baz1a	32	44	33	56
Baz1b	365	412	297	362
Baz2a	225	265	150	240
Baz2b	76	105	68	94
Bbc3	21	21	12	11
Bbip1	119	104	100	136
Bbox1	0	0	0	0
Bbs1	8	20	15	24
Bbs10	3	7	6	2
Bbs12	9	8	6	9
Bbs2	31	37	31	36
Bbs4	9	19	28	22
Bbs5	4	8	6	22
Bbs7	12	21	24	21
Bbs9	45	51	56	42
Bbx	124	128	83	115
Bc1	0	0	0	0
Bcam	39	37	23	34
Bcan	0	0	0	0
Bcap29	22	29	30	34
Bcap31	321	282	327	354
Bcar1	154	93	82	119
Bcar3	39	41	53	53
Bcas1	0	0	0	0
Bcas2	239	249	233	312
Bcas3	65	73	59	48
Bcat1	0	0	2	1
Bcat2	1229	2235	1306	1106
Bccip	338	256	303	334
Bcdin3d	20	15	22	12
Bche	554	342	319	382
Bckdha	1000	1079	907	678
Bckdhb	332	404	526	401
Bckdk	1948	1971	1686	1470
Bcl10	93	122	101	111
Bcl11a	23	50	30	33
Bcl11b	5	7	0	0
Bcl2	84	111	92	74
Bcl2a1a	0	0	0	0
Bcl2a1b	0	0	2	0
Bcl2a1c	0	0	0	0
Bcl2a1d	1	0	0	0
Bcl2l1	79	117	105	107
Bcl2l10	0	0	0	0
Bcl2l11	25	26	13	15
Bcl2l12	11	17	11	7
Bcl2l13	238	274	187	224
Bcl2l14	13	24	24	13
Bcl2l15	1	2	0	0
Bcl2l2	585	755	632	658
Bcl3	7	9	4	17
Bcl6	6	19	6	29
Bcl6b	1	3	0	1
Bcl7a	77	108	61	72
Bcl7b	61	61	41	53
Bcl7c	5	11	11	1
Bcl9	36	53	20	39
Bcl9l	129	123	57	109
Bclaf1	389	512	325	492
Bcmo1	27	15	24	12
Bco2	0	4	1	4
Bcor	112	154	83	103
Bcorl1	53	62	31	36
Bcr	144	181	96	125
Bcs1l	78	86	76	97
Bdh1	40	16	55	26
Bdh2	514	554	681	354
Bdkrb1	0	0	0	0
Bdkrb2	5	3	1	3
Bdnf	0	0	2	0
Bdp1	103	151	112	126
Bean1	0	0	0	0
Becn1	459	394	424	470
Begain	0	1	0	0
Bend3	51	50	35	53
Bend4	1	0	1	0
Bend5	1	6	6	5
Bend6	0	0	0	0
Bend7	54	64	78	37
Best1	1	3	8	4
Best2	0	0	0	0
Best3	0	1	0	0
Bet1	562	571	585	648
Bet1l	193	179	175	197
Bet3l	0	0	0	0
Beta-s	19	7	2	45
Bex1	2	7	5	8
Bex2	153	285	280	242
Bex4	3	2	0	4
Bex6	0	0	0	0
Bfar	164	232	212	200
Bfsp1	0	1	0	1
Bfsp2	0	0	0	0
Bglap	0	0	0	0
Bglap-rs1	40	15	10	22
Bglap2	0	0	0	0
Bgn	51	35	38	96
Bhlha15	3261	3035	2722	3293
Bhlha9	0	0	0	0
Bhlhb9	29	38	48	37
Bhlhe22	0	0	0	0
Bhlhe23	0	0	0	0
Bhlhe40	93	248	181	220
Bhlhe41	2	0	2	5
Bhmt	0	0	0	0
Bhmt2	0	0	0	0
Bicc1	40	79	24	74
Bicd1	81	65	66	73
Bicd2	100	114	88	137
Bid	15	15	15	23
Bik	8	5	3	5
Bin1	272	264	204	240
Bin3	57	91	67	67
Birc2	169	183	137	189
Birc3	55	44	48	57
Birc5	28	65	14	12
Birc6	469	479	280	398
Birc7	0	0	0	0
Bivm	33	43	50	41
Blcap	109	101	93	89
Blk	1	1	0	1
Blm	9	7	13	0
Blmh	110	119	122	142
Blnk	8	10	12	6
Bloc1s1	86	76	66	95
Bloc1s2	13	19	10	22
Bloc1s3	26	37	46	38
Blvra	58	44	74	77
Blvrb	32	36	27	40
Blzf1	94	97	92	140
Bmf	62	64	65	41
Bmi1	154	158	169	189
Bmp1	21	14	16	28
Bmp10	0	0	0	0
Bmp15	0	0	0	0
Bmp2	3	1	4	6
Bmp2k	7	24	5	15
Bmp3	172	214	205	189
Bmp4	3	0	0	0
Bmp5	0	0	0	0
Bmp6	3	7	2	5
Bmp7	322	264	172	251
Bmp8a	2	3	2	4
Bmp8b	2	1	1	0
Bmper	0	1	1	6
Bmpr1a	324	363	383	404
Bmpr1b	302	140	196	226
Bmpr2	55	82	28	60
Bms1	199	180	149	193
Bmx	0	1	0	0
Bmyc	1	5	1	5
Bnc1	0	1	0	0
Bnc2	0	1	0	4
Bnip1	73	92	87	77
Bnip2	35	54	44	57
Bnip3	60	77	99	87
Bnip3l	201	283	264	264
Bnipl	8	4	2	3
Boc	28	25	22	24
Bod1	166	223	179	211
Bod1l	119	127	106	139
Bok	286	145	166	261
Bola1	52	32	19	27
Bola2	183	137	122	137
Bola3	36	38	46	50
Boll	0	0	0	0
Bop1	330	241	173	260
Bpgm	331	326	288	326
Bphl	119	129	140	133
Bpi	0	0	0	7
Bpifa1	0	0	0	0
Bpifa2e	0	0	0	0
Bpifa3	0	0	0	0
Bpifa5	0	0	0	0
Bpifa6	0	0	0	0
Bpifb1	0	0	0	0
Bpifb2	0	0	0	0
Bpifb3	0	0	0	0
Bpifb4	0	0	0	0
Bpifb5	0	0	0	0
Bpifb6	0	0	0	0
Bpifb9a	0	0	0	0
Bpifb9b	0	0	0	0
Bpifc	0	0	0	0
Bpnt1	377	246	235	311
Bptf	224	314	166	241
Braf	164	172	135	227
Brap	245	280	189	188
Brca1	23	41	42	22
Brca2	28	38	15	16
Brcc3	278	204	228	270
Brd1	178	286	167	222
Brd2	644	780	482	757
Brd3	181	197	132	181
Brd4	157	179	93	177
Brd7	155	179	135	152
Brd8	115	144	99	126
Brd9	69	65	54	80
Brdt	5	7	8	10
Bre	122	91	124	69
Brf1	142	166	85	159
Brf2	18	33	18	13
Bri3	41	87	71	84
Bri3bp	95	96	77	90
Brip1	3	12	4	2
Brix1	114	81	78	147
Brms1	53	69	54	42
Brms1l	26	26	40	46
Brox	0	0	0	0
Brp44	191	171	216	228
Brp44l	29	9	8	6
Brpf1	115	116	54	137
Brpf3	169	190	105	167
Brs3	0	0	0	0
Brsk1	2	3	1	6
Brsk2	310	224	101	305
Brwd1	246	335	231	280
Brwd3	42	37	20	31
Bscl2	357	352	210	258
Bsdc1	332	396	271	296
Bsg	2502	2223	2011	1929
Bsn	5	2	5	3
Bsnd	0	0	0	0
Bsph1	0	0	0	0
Bspry	120	126	131	135
Bst1	2	1	0	0
Bst2	115	38	50	233
Bsx	0	0	0	0
Btaf1	186	177	102	195
Btbd1	82	107	104	100
Btbd10	40	34	30	38
Btbd11	5	0	3	4
Btbd16	0	0	0	0
Btbd17	1	2	0	0
Btbd19	7	11	4	9
Btbd2	66	77	47	45
Btbd3	166	150	162	150
Btbd6	49	86	55	68
Btbd7	65	94	55	68
Btbd9	95	107	81	93
Btc	26	23	27	41
Btd	33	40	21	24
Btf3	158	184	176	246
Btf3l4	22	29	28	34
Btg1	270	332	313	253
Btg2	2219	5948	4224	4919
Btg3	0	0	0	0
Btg4	0	0	0	0
Btk	1	0	0	0
Btla	1	0	0	3
Btn1a1	0	1	0	0
Btn2a2	0	0	0	0
Btn3a3	0	0	0	0
Btnl2	0	0	0	0
Btnl3	0	0	0	0
Btnl5	1	0	0	1
Btnl6	0	0	0	0
Btnl9	2	1	0	0
Btrc	70	80	54	56
Bub1	5	18	5	6
Bub1b	14	21	9	14
Bub3	110	108	76	90
Bud13	22	29	16	28
Bud31	171	185	183	240
Butr1	0	0	0	0
Bves	0	0	0	0
Bysl	110	83	53	92
Bzrap1	2	8	4	2
Bzw1	328	337	274	468
Bzw2	144	150	158	240
C030006K11Rik	66	58	68	50
C030007H22Rik	0	0	0	0
C030016D13Rik	0	0	0	0
C030019I05Rik	0	0	0	0
C030023E24Rik	0	0	0	0
C030030A07Rik	0	0	0	0
C030034I22Rik	1	3	4	3
C030034L19Rik	1	0	0	0
C030037D09Rik	3	0	2	1
C030039L03Rik	2	2	8	1
C030044B11Rik	10	30	19	18
C030046E11Rik	398	498	319	417
C030046I01Rik	290	258	237	219
C030048B08Rik	32	32	34	52
C130022K22Rik	33	43	39	54
C130026I21Rik	0	0	0	0
C130026L21Rik	0	0	0	0
C130036L24Rik	0	0	0	0
C130039O16Rik	73	66	37	54
C130050O18Rik	0	0	0	0
C130060K24Rik	0	0	0	0
C130071C03Rik	0	0	0	0
C130074G19Rik	3	4	4	9
C130079G13Rik	0	0	0	0
C130080G10Rik	0	0	0	1
C130083M11Rik	0	0	0	0
C1d	163	144	150	174
C1galt1	101	94	69	135
C1galt1c1	270	271	262	231
C1qa	27	46	50	31
C1qb	9	8	12	7
C1qbp	248	232	274	282
C1qc	6	8	3	7
C1ql1	0	0	0	0
C1ql2	0	0	0	0
C1ql3	2	0	0	3
C1ql4	0	0	0	0
C1qtnf1	11	2	2	3
C1qtnf2	2	0	0	2
C1qtnf3	0	1	0	0
C1qtnf4	2	3	2	2
C1qtnf5	0	0	0	0
C1qtnf6	4	4	1	7
C1qtnf7	1	0	0	5
C1qtnf9	1	4	1	1
C1ra	5	13	8	6
C1rb	0	0	0	0
C1rl	421	431	503	334
C1s	29	9	7	28
C2	4	1	1	4
C230004F18Rik	0	0	0	0
C230035I16Rik	2	0	0	0
C230052I12Rik	30	16	16	17
C230079O03	0	0	0	0
C230081A13Rik	23	28	6	26
C230091D08Rik	0	0	0	0
C230096C10Rik	88	69	61	82
C2cd2	255	304	322	299
C2cd2l	112	89	63	71
C2cd3	84	111	79	105
C2cd4a	37	16	17	15
C2cd4b	194	135	98	216
C2cd4c	1	0	0	0
C2cd4d	0	0	1	0
C3	247	92	131	487
C330005M16Rik	0	0	0	0
C330006K01Rik	24	44	24	25
C330007P06Rik	102	113	102	100
C330008G21Rik	0	0	0	0
C330018D20Rik	18	26	31	53
C330019G07Rik	104	133	72	131
C330021F23Rik	0	0	0	0
C330024D21Rik	0	0	0	0
C330027C09Rik	15	59	12	21
C330046G13Rik	0	0	0	0
C3ar1	7	2	3	3
C430002E04Rik	0	1	0	0
C430048L16Rik	15	28	23	29
C430049B03Rik	0	0	0	0
C4a	3	3	2	1
C4b	2430	409	1049	1968
C4bp	3	4	8	9
C4bp-ps1	0	0	0	1
C530005A16Rik	3	2	2	2
C530008M17Rik	0	1	0	0
C530028O21Rik	0	0	0	0
C5ar1	1	1	0	4
C6	0	2	0	0
C630004H02Rik	1388	1308	873	962
C630020P19Rik	3	0	2	0
C630028M04Rik	0	0	0	0
C630043F03Rik	17	17	23	30
C730027H18Rik	0	7	2	6
C730036E19Rik	1	0	0	0
C77080	322	402	234	279
C77370	42	45	38	44
C78339	46	46	47	47
C80913	250	240	205	265
C85492	223	234	173	172
C86187	0	0	0	0
C86695	0	0	0	0
C87414	0	0	0	0
C87436	42	75	44	57
C87499	0	0	0	0
C87977	0	0	0	0
C8a	0	0	0	0
C8b	3	5	2	0
C8g	5	5	1	4
C9	0	0	0	0
C920006O11Rik	2	4	8	3
C920009B18Rik	0	0	0	0
C920021L13Rik	0	0	2	0
CK137956	0	0	0	0
Cab39	619	770	637	621
Cab39l	250	194	195	184
Cabin1	116	127	77	106
Cables1	103	115	114	85
Cables2	90	87	63	69
Cabp1	33	23	12	15
Cabp2	1528	1551	1445	1369
Cabp4	0	0	0	0
Cabp5	0	0	0	0
Cabp7	0	1	0	0
Cabyr	0	0	0	0
Cachd1	202	240	106	184
Cacna1a	19	28	10	21
Cacna1b	1	4	1	0
Cacna1c	4	1	1	1
Cacna1d	130	194	98	146
Cacna1e	1	0	0	0
Cacna1f	1	0	1	1
Cacna1g	0	0	3	1
Cacna1h	1	5	0	1
Cacna1i	1	0	0	0
Cacna1s	0	0	0	0
Cacna2d1	12	11	7	19
Cacna2d2	3	2	3	2
Cacna2d3	0	1	1	0
Cacna2d4	2	1	1	0
Cacnb1	6	8	7	8
Cacnb2	32	18	18	12
Cacnb3	5	8	7	10
Cacnb4	1	0	0	0
Cacng1	0	0	0	0
Cacng2	0	0	0	0
Cacng3	0	0	0	0
Cacng4	0	0	0	1
Cacng5	0	0	0	0
Cacng6	0	0	0	0
Cacng7	1	0	0	0
Cacng8	0	0	0	0
Cacybp	155	132	176	194
Cad	747	412	238	496
Cadm1	45	90	69	89
Cadm2	0	0	0	0
Cadm3	2	4	2	0
Cadm4	60	61	48	53
Cadps	0	6	1	2
Cadps2	89	75	93	101
Cage1	5	0	3	6
Calb1	1	1	7	3
Calb2	0	0	0	0
Calca	2	3	3	2
Calcb	0	0	0	0
Calcoco1	139	303	227	142
Calcoco2	0	0	1	0
Calcr	0	0	0	1
Calcrl	15	25	22	26
Cald1	240	69	179	186
Calhm1	0	0	0	0
Calhm2	3	2	0	1
Calm1	1452	1261	1445	1687
Calm2	199	228	200	242
Calm3	533	570	481	461
Calm4	0	0	0	0
Calm5	0	0	0	0
Calml3	0	0	0	0
Calml4	1	0	0	1
Caln1	0	0	0	0
Calr	2544	1794	1987	2796
Calr3	1	6	3	0
Calr4	4	0	3	2
Calu	761	723	574	909
Caly	1	0	0	0
Camk1	184	195	183	171
Camk1d	384	436	397	343
Camk1g	0	0	0	0
Camk2a	0	0	2	2
Camk2b	435	584	386	291
Camk2d	58	65	45	56
Camk2g	40	52	45	53
Camk2n1	150	200	244	186
Camk2n2	25	21	29	18
Camk4	3	2	0	0
Camkk1	47	55	23	46
Camkk2	122	84	80	83
Camkv	0	1	0	0
Caml	100	67	91	102
Camp	0	0	0	4
Camsap1	53	68	38	80
Camsap1l1	104	105	103	112
Camta1	15	21	14	17
Camta2	84	84	56	85
Cand1	264	289	263	326
Cand2	22	7	24	10
Cant1	175	162	116	140
Canx	1891	2118	1895	2470
Cap1	226	285	219	292
Cap2	1	0	0	0
Capg	21	16	13	33
Capn1	116	85	72	67
Capn10	36	61	62	48
Capn11	0	0	0	0
Capn12	0	0	0	0
Capn13	0	0	0	0
Capn2	287	320	304	308
Capn3	1	1	0	2
Capn5	115	84	95	61
Capn6	7	5	15	18
Capn7	333	322	263	315
Capn8	0	0	0	0
Capn9	0	0	0	0
Capns1	549	501	519	647
Capns2	0	0	0	0
Caprin1	852	910	808	1095
Caprin2	17	23	17	14
Caps2	1	1	0	1
Capsl	9	11	15	8
Capza1	15	23	30	39
Capza2	376	410	445	436
Capza3	0	0	0	0
Capzb	480	471	436	496
Car1	0	0	0	0
Car10	2	1	0	0
Car11	16	24	21	15
Car12	0	0	0	0
Car13	2	5	4	9
Car14	1	0	4	4
Car15	10	11	7	11
Car2	10	1	5	17
Car3	0	0	0	0
Car4	2	2	1	2
Car5a	0	0	0	0
Car5b	65	66	90	45
Car6	0	0	0	0
Car7	1	2	2	0
Car8	191	82	57	170
Car9	40	24	28	33
Card10	95	123	53	54
Card11	2	2	0	1
Card14	0	0	0	0
Card6	65	68	52	46
Card9	3	0	0	1
Carf	10	11	5	8
Carhsp1	497	583	481	506
Carkd	582	867	875	696
Carm1	118	157	103	143
Carns1	2	4	2	2
Cars	414	484	408	432
Cars2	62	87	67	97
Cartpt	0	0	0	0
Casc1	1	0	1	0
Casc3	184	219	144	210
Casc4	80	80	93	101
Casc5	8	18	0	4
Casd1	48	87	78	88
Cask	193	217	167	180
Caskin1	1	1	1	1
Caskin2	106	126	58	87
Casp1	1	0	1	2
Casp12	13	14	10	29
Casp14	0	0	0	0
Casp2	55	62	41	59
Casp3	37	30	33	45
Casp4	2	0	1	8
Casp6	82	91	91	76
Casp7	36	23	37	41
Casp8	59	52	38	76
Casp8ap2	57	35	32	50
Casp9	71	74	68	66
Casq1	0	0	0	0
Casq2	1	0	2	1
Casr	4	4	4	3
Cass4	0	0	0	0
Cast	94	81	79	97
Casz1	31	72	38	38
Cat	479	917	790	553
Catsper1	0	0	0	0
Catsper2	8	1	8	7
Catsper3	0	0	0	0
Catsper4	1	1	0	1
Catsperb	0	0	0	0
Catsperg1	0	3	0	0
Catsperg2	0	0	0	0
Cav1	36	29	15	30
Cav2	30	45	24	37
Cav3	0	0	0	0
Cbara1	109	131	103	121
Cbfa2t2	99	113	86	103
Cbfa2t3	264	396	199	287
Cbfb	131	120	101	154
Cbl	33	36	13	19
Cblb	46	72	50	72
Cblc	20	26	29	27
Cbll1	20	23	34	35
Cbln1	0	0	0	0
Cbln2	1	0	0	0
Cbln3	0	1	0	0
Cbln4	0	0	0	0
Cbr1	242	271	250	267
Cbr2	1	0	1	3
Cbr3	4	4	2	6
Cbr4	50	59	70	47
Cbs	4145	3962	3106	3134
Cbwd1	43	38	28	38
Cbx1	52	66	75	66
Cbx2	11	19	12	19
Cbx3	6	13	9	9
Cbx4	92	80	76	63
Cbx5	409	456	322	487
Cbx6	195	262	98	100
Cbx7	106	185	73	98
Cbx8	9	16	12	5
Cby1	23	25	24	25
Cc2d1a	102	108	74	72
Cc2d1b	213	202	152	188
Cc2d2a	21	32	15	31
Ccar1	191	272	199	269
Ccbe1	74	111	80	59
Ccbl1	195	167	131	127
Ccbl2	142	136	159	142
Ccbp2	0	0	0	0
Ccdc101	58	59	57	56
Ccdc102a	1	0	0	0
Ccdc103	2	1	1	2
Ccdc104	54	62	83	80
Ccdc105	0	0	0	0
Ccdc106	2	0	0	1
Ccdc107	133	107	155	127
Ccdc108	0	0	0	0
Ccdc109a	20	19	18	21
Ccdc109b	0	0	3	0
Ccdc11	1	4	2	2
Ccdc110	0	0	0	0
Ccdc111	37	30	32	38
Ccdc112	11	7	9	12
Ccdc113	0	0	0	0
Ccdc114	6	1	1	10
Ccdc115	67	64	87	84
Ccdc116	8	2	4	3
Ccdc117	195	146	154	164
Ccdc12	41	52	46	52
Ccdc120	25	51	32	30
Ccdc121	1	0	0	0
Ccdc122	4	1	1	3
Ccdc123	34	54	50	33
Ccdc124	91	79	62	77
Ccdc125	16	16	15	15
Ccdc126	17	15	20	16
Ccdc127	399	387	376	355
Ccdc129	0	0	0	0
Ccdc13	0	0	1	0
Ccdc130	20	28	20	22
Ccdc132	116	112	128	167
Ccdc134	39	30	29	50
Ccdc135	0	0	0	0
Ccdc136	2	3	1	4
Ccdc137	48	51	28	52
Ccdc138	1	4	1	2
Ccdc14	15	20	13	6
Ccdc141	213	126	155	374
Ccdc142	18	27	16	11
Ccdc144b	0	0	0	0
Ccdc146	22	16	22	15
Ccdc147	0	0	0	0
Ccdc148	1	7	2	5
Ccdc15	3	2	0	3
Ccdc150	0	0	0	0
Ccdc151	2	0	0	0
Ccdc152	1	0	0	2
Ccdc153	0	0	0	0
Ccdc154	0	0	0	0
Ccdc155	1	0	1	1
Ccdc157	80	80	57	79
Ccdc158	1	2	1	2
Ccdc159	21	17	14	16
Ccdc160	0	0	0	0
Ccdc162	9	7	4	15
Ccdc163	14	31	20	30
Ccdc164	1	4	7	2
Ccdc17	25	18	20	32
Ccdc18	3	6	0	0
Ccdc19	0	0	0	0
Ccdc21	217	155	100	185
Ccdc22	95	93	75	72
Ccdc23	14	13	14	16
Ccdc24	4	1	0	0
Ccdc25	282	213	232	296
Ccdc27	0	0	0	0
Ccdc28a	4	20	25	9
Ccdc28b	24	21	21	27
Ccdc3	1	0	0	1
Ccdc30	41	48	44	35
Ccdc32	36	33	27	28
Ccdc33	1	1	1	1
Ccdc34	16	22	9	20
Ccdc36	0	0	0	0
Ccdc37	0	0	1	0
Ccdc38	0	0	0	0
Ccdc39	1	1	9	7
Ccdc40	3	1	3	1
Ccdc41	32	43	36	39
Ccdc42	0	0	0	0
Ccdc42b	0	0	0	0
Ccdc43	121	97	113	124
Ccdc45	12	20	28	27
Ccdc46	4	3	6	5
Ccdc47	303	274	272	340
Ccdc48	1	0	0	0
Ccdc50	260	289	222	318
Ccdc51	14	23	18	22
Ccdc53	100	84	109	118
Ccdc54	0	0	0	0
Ccdc55	63	65	47	81
Ccdc56	636	588	570	581
Ccdc57	27	35	22	25
Ccdc58	45	43	51	46
Ccdc59	88	88	101	100
Ccdc6	219	247	193	247
Ccdc60	0	1	0	0
Ccdc61	10	22	14	12
Ccdc62	2	4	5	2
Ccdc63	0	0	0	0
Ccdc64	1	2	4	7
Ccdc64b	36	41	49	37
Ccdc65	0	2	0	1
Ccdc66	31	27	32	35
Ccdc67	1	0	0	2
Ccdc68	40	72	78	103
Ccdc69	5	5	4	9
Ccdc7	0	0	0	0
Ccdc70	0	0	0	0
Ccdc71	72	81	84	76
Ccdc72	34	43	28	43
Ccdc73	0	0	0	0
Ccdc74a	0	0	0	0
Ccdc75	57	45	67	71
Ccdc76	22	34	22	32
Ccdc77	14	19	11	7
Ccdc78	0	0	0	0
Ccdc79	0	3	2	3
Ccdc8	0	0	0	3
Ccdc80	18	10	6	23
Ccdc81	0	0	0	0
Ccdc82	0	0	0	0
Ccdc83	0	0	0	0
Ccdc84	33	34	14	42
Ccdc85a	1	0	0	1
Ccdc85b	22	29	18	21
Ccdc85c	33	36	12	11
Ccdc86	44	51	33	71
Ccdc87	0	0	0	0
Ccdc88a	16	14	10	12
Ccdc88b	3	1	2	0
Ccdc88c	120	119	89	114
Ccdc89	0	0	2	1
Ccdc9	62	85	68	110
Ccdc90a	253	289	269	263
Ccdc90b	39	43	50	68
Ccdc91	136	139	151	143
Ccdc92	51	54	31	29
Ccdc93	114	156	102	126
Ccdc94	17	21	9	5
Ccdc96	0	1	0	0
Ccdc97	101	120	94	121
Ccdc99	7	7	2	9
Cchcr1	18	15	19	24
Ccin	0	0	0	0
Cck	0	0	0	0
Cckar	7354	6405	7694	7776
Cckbr	2	3	1	4
Ccl1	0	0	0	0
Ccl11	3	2	3	10
Ccl12	0	0	0	2
Ccl17	0	0	0	0
Ccl19	0	0	0	0
Ccl2	1	2	6	10
Ccl20	0	0	0	0
Ccl21a	0	0	0	0
Ccl21b	0	0	0	0
Ccl21c	0	0	0	0
Ccl22	1	0	0	0
Ccl24	0	1	1	0
Ccl25	8	4	6	8
Ccl26	0	0	0	0
Ccl27a	6	10	8	4
Ccl27b	0	0	0	0
Ccl28	0	0	0	0
Ccl3	0	0	2	1
Ccl4	4	1	2	5
Ccl5	2	0	0	1
Ccl6	24	4	41	12
Ccl7	1	0	1	10
Ccl8	4	0	0	1
Ccl9	11	0	25	4
Ccm2	127	106	109	121
Ccna1	0	0	0	0
Ccna2	55	71	12	29
Ccnb1	8	15	5	6
Ccnb1ip1	4	5	0	7
Ccnb2	22	38	8	10
Ccnb3	0	0	0	0
Ccnc	119	124	130	138
Ccnd1	159	196	87	136
Ccnd2	592	464	261	553
Ccnd3	255	249	147	166
Ccndbp1	69	117	117	96
Ccne1	11	17	3	3
Ccne2	16	9	1	17
Ccnf	5	12	3	4
Ccng1	837	859	705	1490
Ccng2	15	30	27	24
Ccnh	92	84	105	109
Ccni	169	209	212	189
Ccnj	26	26	20	24
Ccnjl	3	0	0	1
Ccnk	80	89	63	88
Ccnl1	137	267	164	371
Ccnl2	343	609	239	480
Ccno	0	1	0	4
Ccnt1	21	29	21	27
Ccnt2	112	159	91	121
Ccny	372	371	307	370
Ccnyl1	31	26	29	37
Ccpg1	2261	2335	2236	1997
Ccr1	0	0	3	1
Ccr10	0	0	0	0
Ccr1l1	0	0	0	0
Ccr2	2	1	4	7
Ccr3	0	0	0	1
Ccr4	0	0	0	0
Ccr5	5	3	3	1
Ccr6	1	0	0	0
Ccr7	16	6	0	6
Ccr8	0	0	0	0
Ccr9	0	2	0	1
Ccrl1	0	1	0	1
Ccrl2	39	61	39	56
Ccrn4l	47	47	44	58
Ccs	241	167	142	163
Cct2	743	870	845	1017
Cct3	297	229	284	382
Cct4	490	705	664	900
Cct5	1363	1629	1612	1896
Cct6a	445	402	387	537
Cct6b	0	0	0	1
Cct7	1101	936	856	1213
Cct8	427	410	456	592
Cct8l1	0	0	0	0
Ccz1	250	244	323	321
Cd101	0	0	0	0
Cd109	0	0	1	2
Cd14	17	27	43	73
Cd151	279	336	265	313
Cd160	0	0	0	0
Cd163	4	5	1	1
Cd163l1	0	0	0	0
Cd164	2431	1892	1884	2357
Cd164l2	41	39	31	52
Cd177	0	0	0	0
Cd180	4	1	0	2
Cd19	2	1	0	1
Cd1d1	1	1	6	3
Cd1d2	0	0	0	0
Cd2	4	0	0	0
Cd200	19	10	11	8
Cd200r1	1	0	0	0
Cd200r2	0	0	0	0
Cd200r3	0	0	0	0
Cd200r4	0	0	0	1
Cd207	0	0	0	0
Cd209a	0	0	0	0
Cd209b	0	6	0	0
Cd209c	0	0	0	0
Cd209d	0	0	1	0
Cd209e	0	0	0	0
Cd209f	0	0	1	0
Cd209g	0	0	0	0
Cd22	6	4	0	1
Cd226	2	0	0	0
Cd244	1	0	1	2
Cd247	5	3	0	5
Cd248	8	4	0	8
Cd24a	2389	1916	1918	3246
Cd27	0	3	0	0
Cd274	6	3	6	7
Cd276	96	42	47	62
Cd28	6	3	0	4
Cd2ap	386	422	385	485
Cd2bp2	155	201	143	194
Cd300a	3	1	1	1
Cd300c	0	0	0	0
Cd300e	0	0	1	0
Cd300lb	3	0	1	1
Cd300ld	2	2	0	3
Cd300lf	0	1	1	0
Cd300lg	10	3	1	3
Cd300lh	0	0	0	0
Cd302	94	75	107	132
Cd320	271	232	262	225
Cd33	0	1	0	1
Cd34	19	14	5	28
Cd36	34	12	10	26
Cd37	2	1	0	0
Cd38	3	0	1	5
Cd3d	1	2	0	1
Cd3e	0	3	0	0
Cd3eap	70	71	47	99
Cd3g	4	5	0	2
Cd4	4	2	0	1
Cd40	1	0	0	1
Cd40lg	0	0	0	1
Cd44	24	25	25	36
Cd46	3	3	1	0
Cd47	160	180	192	169
Cd48	3	0	1	1
Cd5	3	3	0	0
Cd52	10	8	4	9
Cd53	7	8	3	11
Cd55	15	13	25	13
Cd59a	140	133	129	121
Cd59b	10	17	17	6
Cd5l	1	1	2	0
Cd6	14	9	11	11
Cd63	606	630	671	875
Cd68	8	7	7	9
Cd69	7	3	0	1
Cd7	0	0	0	2
Cd70	0	0	0	0
Cd72	0	1	0	1
Cd74	69	27	9	10
Cd79a	4	1	0	0
Cd79b	2	2	1	1
Cd80	0	0	0	0
Cd81	365	368	288	485
Cd82	543	533	449	429
Cd83	9	4	1	0
Cd84	2	4	2	2
Cd86	0	2	0	0
Cd8a	5	0	0	1
Cd8b1	3	3	0	0
Cd9	242	234	220	242
Cd93	8	6	3	9
Cd96	0	1	1	0
Cd97	18	10	17	15
Cd99l2	300	292	278	301
Cda	9	0	5	16
Cdadc1	174	196	147	211
Cdan1	22	38	24	37
Cdc123	422	326	452	424
Cdc14a	8	13	6	8
Cdc14b	21	43	18	21
Cdc16	284	319	271	296
Cdc20	20	44	2	8
Cdc23	57	95	59	70
Cdc25a	412	449	358	412
Cdc25b	8	16	4	4
Cdc25c	3	5	0	2
Cdc26	31	52	39	42
Cdc27	179	159	131	179
Cdc34	382	358	321	367
Cdc37	466	480	379	462
Cdc37l1	102	74	70	108
Cdc40	52	60	59	76
Cdc42	812	795	929	890
Cdc42bpa	153	177	138	127
Cdc42bpb	231	266	118	184
Cdc42bpg	540	612	271	390
Cdc42ep1	765	1241	895	721
Cdc42ep2	6	4	2	4
Cdc42ep3	31	34	39	26
Cdc42ep4	142	160	162	126
Cdc42ep5	28	46	28	21
Cdc42se1	461	493	479	426
Cdc42se2	129	115	89	106
Cdc45	5	12	8	8
Cdc5l	113	131	109	139
Cdc6	29	11	4	7
Cdc7	22	16	16	25
Cdc73	182	182	145	186
Cdca2	5	21	7	6
Cdca3	27	72	18	11
Cdca4	39	36	32	38
Cdca5	8	17	1	1
Cdca7	6	5	7	10
Cdca7l	14	21	12	9
Cdca8	16	17	6	6
Cdcp1	124	131	38	114
Cdcp2	0	0	0	0
Cdh1	1281	1878	1618	1378
Cdh10	0	0	0	0
Cdh11	3	2	9	2
Cdh12	0	0	0	0
Cdh13	0	0	2	1
