ProbeIDs	GAOM_10	GAOM_11	GAOM_1	GAOM_2	GAOM_3	GAOM_6
Cpsf7	167	204	101	118	128	204
Cpt1a	344	664	405	207	476	376
Cpt1b	1	0	0	0	0	0
Cpt1c	4	8	0	1	1	3
Cpt2	163	183	113	116	228	141
Cpvl	0	0	0	0	0	0
Cpxcr1	0	0	0	0	0	0
Cpxm1	13	1	8	32	3	17
Cpxm2	1	0	0	10	0	0
Cpz	0	0	0	1	0	0
Cr1l	142	126	133	114	128	162
Cr2	2	2	1	8	0	0
Crabp1	0	0	0	0	0	0
Crabp2	0	0	1	0	0	0
Cradd	39	55	32	29	50	41
Cramp1l	50	71	55	58	44	57
Crat	223	235	122	126	192	158
Crb1	16	49	15	12	58	26
Crb2	2	0	0	0	0	0
Crb3	155	181	94	92	164	165
Crbn	258	328	342	270	296	287
Crcp	40	58	45	47	55	77
Crct1	0	0	0	0	0	0
Creb1	121	170	133	126	129	155
Creb3	199	243	263	191	191	237
Creb3l1	360	349	113	134	213	302
Creb3l2	104	113	113	60	67	107
Creb3l3	3	14	1	6	8	4
Creb3l4	2	4	1	7	9	3
Creb5	0	2	2	1	0	1
Crebbp	64	88	51	34	34	49
Crebl2	118	144	141	124	114	135
Crebzf	207	295	200	183	197	212
Creg1	631	645	429	574	603	706
Creg2	0	0	1	1	0	0
Creld1	24	48	17	37	26	41
Creld2	700	516	415	585	466	1126
Crem	58	38	37	93	58	62
Crh	0	0	0	0	0	0
Crhbp	0	0	0	0	0	0
Crhr1	0	0	0	0	0	0
Crhr2	1	0	0	0	0	0
Crim1	24	21	1	27	13	18
Crip1	14	9	24	47	14	16
Crip2	6	49	15	30	15	15
Crip3	0	0	0	0	0	0
Cript	124	154	146	147	165	186
Crisp1	1	0	0	0	0	0
Crisp2	2	1	1	0	1	1
Crisp3	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0
Crispld1	0	1	0	3	0	0
Crispld2	5	3	4	36	0	11
Crk	607	642	631	585	614	668
Crkl	130	137	111	95	99	96
Crlf1	202	194	161	178	170	195
Crlf2	13	13	1	7	7	15
Crlf3	13	31	10	23	19	29
Crls1	295	381	305	380	440	481
Crmp1	2	1	1	0	5	0
Crnkl1	70	64	68	63	69	98
Crnn	0	0	0	0	0	0
Crocc	21	13	5	6	5	7
Crot	88	133	80	133	118	135
Crp	21	32	8	94	52	45
Crtac1	0	0	0	0	0	0
Crtam	0	0	0	1	0	0
Crtap	44	35	23	35	39	37
Crtc1	99	101	50	40	50	63
Crtc2	61	83	41	59	47	54
Crtc3	33	55	32	35	34	67
Crx	0	0	0	0	0	0
Crxos1	0	0	0	0	0	0
Cry1	79	35	58	69	48	171
Cry2	57	87	48	38	64	59
Cryaa	0	0	0	0	0	0
Cryab	226	203	106	114	252	125
Cryba1	0	0	0	0	0	0
Cryba2	4	2	0	1	0	2
Cryba4	0	0	0	0	0	1
Crybb1	1	0	0	1	0	0
Crybb2	0	0	0	0	0	0
Crybb3	0	0	1	2	3	0
Crybg3	62	53	46	40	49	43
Cryga	0	0	0	0	0	0
Crygb	0	0	0	0	0	0
Crygc	0	0	0	0	0	0
Crygd	0	0	0	0	0	0
Cryge	0	0	0	0	0	0
Crygf	0	0	0	0	0	0
Crygn	0	0	0	0	0	0
Crygs	0	0	0	0	0	0
Cryl1	24	32	16	14	42	18
Crym	0	1	0	2	0	2
Cryz	83	82	67	98	137	108
Cryzl1	49	67	45	56	64	67
Cs	612	697	447	464	640	728
Csad	115	125	113	94	135	70
Csda	618	633	451	445	539	649
Csdc2	0	0	0	3	1	0
Csde1	904	865	907	868	946	1206
Cse1l	199	137	193	195	127	228
Csf1	20	26	11	41	3	29
Csf1r	11	18	43	32	8	10
Csf2	0	0	0	1	0	0
Csf2ra	10	5	4	4	5	5
Csf2rb	2	2	2	13	0	1
Csf2rb2	0	2	8	5	1	1
Csf3	0	0	0	0	0	0
Csf3r	3	0	6	2	1	2
Csgalnact1	50	50	15	15	31	16
Csgalnact2	105	89	101	115	98	104
Csk	92	75	48	70	67	91
Csl	67	69	32	38	60	58
Csmd1	0	0	0	1	0	4
Csmd3	0	0	0	0	0	0
Csn1s1	0	0	0	0	0	0
Csn1s2a	0	0	0	0	0	0
Csn1s2b	1	0	0	0	1	0
Csn2	0	0	0	0	0	0
Csn3	0	0	0	0	0	0
Csnk1a1	524	703	535	481	578	582
Csnk1d	349	441	281	238	315	369
Csnk1e	52	65	39	45	46	55
Csnk1g1	84	86	57	49	66	80
Csnk1g2	417	430	213	219	260	262
Csnk1g3	77	75	40	68	70	77
Csnk2a1	216	248	201	177	254	230
Csnk2a2	58	105	65	50	72	83
Csnk2b	341	341	206	199	302	302
Csnka2ip	0	0	0	0	0	0
Cspg4	0	2	1	9	2	1
Cspg5	2	1	1	0	2	3
Cspp1	42	76	55	40	45	66
Csprs	0	0	0	0	0	0
Csrnp1	30	107	52	174	38	91
Csrnp2	13	21	8	14	12	14
Csrnp3	2	0	0	0	0	0
Csrp1	966	1296	657	707	1123	1120
Csrp2	173	274	155	198	226	307
Csrp2bp	143	143	94	93	114	134
Csrp3	0	0	0	0	0	0
Cst10	0	0	0	0	0	0
Cst11	0	0	0	0	0	0
Cst12	0	0	0	0	0	0
Cst13	0	0	0	0	0	0
Cst3	2814	2689	2093	2043	2723	2054
Cst6	7	11	4	5	12	3
Cst7	0	0	0	3	0	1
Cst8	1	0	0	0	0	0
Cst9	0	0	0	0	0	0
Csta	0	0	0	0	0	0
Cstad	0	0	0	2	0	0
Cstb	306	302	199	274	319	361
Cstf1	83	94	59	51	88	77
Cstf2	159	130	103	119	140	155
Cstf2t	84	81	55	58	75	93
Cstf3	89	67	43	62	60	112
Cstl1	0	0	0	0	0	0
Ctag2	0	0	0	0	0	0
Ctage5	1363	1460	1309	933	1377	1338
Ctbp1	611	627	411	366	378	571
Ctbp2	209	212	119	163	130	221
Ctbs	16	9	10	12	12	20
Ctcf	300	285	274	185	277	270
Ctcfl	0	0	0	0	0	0
Ctdnep1	177	179	102	104	151	186
Ctdp1	59	61	30	38	36	47
Ctdsp1	482	654	384	335	554	475
Ctdsp2	311	669	389	345	438	337
Ctdspl	274	368	132	184	320	288
Ctdspl2	67	73	32	46	33	33
Ctf1	18	31	23	28	45	20
Ctf2	0	0	0	0	0	0
Ctgf	5	16	9	34	6	25
Cth	286	409	370	277	337	373
Cthrc1	2	1	0	1	0	3
Ctif	77	49	46	41	58	37
Ctla2a	1	3	1	19	1	1
Ctla2b	0	0	0	3	1	0
Ctla4	4	6	1	43	0	4
Ctnna1	462	598	441	392	532	509
Ctnna2	0	3	0	0	0	0
Ctnna3	0	2	1	0	0	0
Ctnnal1	49	66	37	34	49	68
Ctnnb1	2391	2570	2107	2345	2390	2716
Ctnnbip1	28	25	12	23	38	27
Ctnnbl1	52	62	42	41	45	49
Ctnnd1	661	820	618	478	673	736
Ctnnd2	3	3	0	0	1	2
Ctns	162	193	88	70	172	120
Ctps	95	96	88	91	51	128
Ctps2	124	129	136	122	145	172
Ctr9	150	118	127	109	113	145
Ctrb1	2452614	1782511	1444008	1331557	1950993	1444797
Ctrc	3995	3329	2555	1814	2148	56735
Ctrl	323437	393395	358883	270711	377156	236344
Cts3	0	0	0	0	0	0
Cts6	0	0	0	0	0	0
Cts7	0	0	0	0	0	0
Cts8	0	0	0	0	0	0
Cts8-ps	0	0	0	0	0	0
Ctsa	547	491	325	302	522	444
Ctsb	2158	1906	1284	1631	1711	1973
Ctsc	528	512	245	399	440	549
Ctsd	3133	3057	2483	2544	2847	2929
Ctse	2	4	2	2	2	7
Ctsf	83	113	60	91	93	83
Ctsg	0	0	0	3	0	0
Ctsh	41	25	87	98	18	45
Ctsj	0	0	0	0	0	0
Ctsk	2	1	6	12	0	11
Ctsl	3287	2855	2949	1477	3331	2307
Ctsll3	0	0	0	0	0	0
Ctsm	0	0	0	0	0	0
Ctso	27	31	15	40	24	32
Ctsq	0	0	0	0	0	0
Ctsr	0	0	0	0	0	0
Ctss	25	13	151	80	10	14
Ctsw	0	0	1	3	0	0
Ctsz	285	256	132	191	249	251
Cttn	202	211	159	161	185	238
Cttnbp2	8	13	3	21	14	6
Cttnbp2nl	42	26	14	28	22	36
Ctu1	26	28	31	29	31	33
Ctu2	38	51	27	24	20	43
Ctxn1	3	10	1	9	4	4
Ctxn2	0	1	0	1	1	0
Ctxn3	0	0	0	0	0	0
Cubn	0	0	0	0	0	0
Cuedc1	135	82	51	58	69	76
Cuedc2	126	115	53	67	96	124
Cul1	277	395	364	295	371	331
Cul2	175	126	148	121	149	160
Cul3	452	585	578	415	531	595
Cul4a	344	378	401	256	331	403
Cul4b	158	216	165	148	166	199
Cul5	95	120	98	76	91	114
Cul7	116	179	44	61	101	132
Cul9	70	66	22	37	52	53
Cuta	178	154	106	100	161	161
Cutc	30	35	30	25	47	40
Cux1	527	421	287	215	418	464
Cux2	26	29	9	9	7	14
Cuzd1	52406	34575	33704	39848	41435	38243
Cwc15	323	391	296	266	401	361
Cwc22	47	57	41	46	50	66
Cwc25	50	27	31	26	31	42
Cwc27	25	42	28	35	41	39
Cwf19l1	30	43	30	17	26	26
Cwf19l2	73	64	61	52	51	70
Cwh43	0	0	0	0	0	0
Cx3cl1	12	6	1	19	6	10
Cx3cr1	1	1	9	0	4	0
Cxadr	410	564	306	450	487	531
Cxcl1	9	0	10	95	10	16
Cxcl10	7	3	4	54	5	17
Cxcl11	0	0	0	2	0	0
Cxcl12	224	734	42	239	524	144
Cxcl13	1	1	5	12	5	1
Cxcl14	3	0	5	5	2	2
Cxcl15	1	1	0	1	1	1
Cxcl16	16	32	15	48	16	36
Cxcl17	0	0	1	0	0	4
Cxcl2	6	0	34	49	19	29
Cxcl3	0	0	0	1	2	2
Cxcl5	4	0	1	6	1	2
Cxcl9	0	1	0	3	0	1
Cxcr1	0	0	0	0	0	0
Cxcr2	0	2	0	4	1	3
Cxcr3	0	0	0	0	0	0
Cxcr4	18	7	14	38	0	5
Cxcr5	0	0	1	14	0	0
Cxcr6	0	1	0	0	0	1
Cxcr7	9	2	5	36	8	5
Cxx1a	13	6	7	7	6	6
Cxx1b	10	3	3	7	4	11
Cxx1c	1	6	1	9	4	8
Cxxc1	682	820	510	324	496	687
Cxxc4	19	26	24	14	26	25
Cxxc5	471	424	274	255	311	366
Cyb5	379	481	398	461	562	570
Cyb561	223	246	239	147	247	223
Cyb561d1	45	79	51	43	57	41
Cyb561d2	40	49	18	31	51	47
Cyb5b	3191	2056	939	1531	2058	1870
Cyb5d1	8	4	10	5	4	3
Cyb5d2	22	33	28	23	29	31
Cyb5r1	66	87	35	35	51	98
Cyb5r2	1	0	0	0	0	0
Cyb5r3	781	879	353	345	971	540
Cyb5r4	56	63	76	70	56	58
Cyb5rl	30	26	21	26	19	21
Cyba	62	44	22	60	43	64
Cybasc3	34	65	36	44	59	51
Cybb	9	2	56	45	8	9
Cybrd1	4	1	2	4	0	3
Cyc1	694	738	436	548	602	686
Cycs	16	8	11	12	18	19
Cyct	0	0	0	0	0	0
Cyfip1	177	182	133	119	158	138
Cyfip2	727	533	349	314	412	512
Cygb	2	1	3	11	5	3
Cyhr1	260	260	209	168	234	249
Cylc1	0	0	0	0	0	0
Cylc2	0	0	0	0	0	0
Cyld	176	148	178	152	141	185
Cym	0	0	0	0	2	0
Cyp11a1	1	0	0	0	0	0
Cyp11b1	0	0	0	0	0	0
Cyp11b2	0	0	0	0	0	0
Cyp17a1	0	0	0	0	0	0
Cyp19a1	0	0	0	0	0	0
Cyp1a1	0	0	1	2	0	0
Cyp1a2	0	0	0	0	0	0
Cyp1b1	2	2	24	46	6	13
Cyp20a1	87	78	76	58	90	83
Cyp21a1	0	0	0	0	0	0
Cyp24a1	0	0	0	0	0	0
Cyp26a1	0	0	0	0	0	0
Cyp26b1	1	0	0	5	1	0
Cyp26c1	0	0	0	0	0	0
Cyp27a1	9	15	16	13	14	6
Cyp27b1	3	2	3	0	1	2
Cyp2a12	0	0	0	0	0	0
Cyp2a22	0	0	0	0	0	0
Cyp2a4	0	0	0	0	0	0
Cyp2a5	0	0	0	0	0	0
Cyp2ab1	0	0	0	0	0	0
Cyp2b10	0	3	8	1	2	3
Cyp2b13	0	0	0	0	0	0
Cyp2b19	0	0	0	0	0	0
Cyp2b23	0	0	0	0	0	0
Cyp2b9	0	0	0	0	0	0
Cyp2c29	0	0	0	0	0	0
Cyp2c37	0	0	0	0	0	0
Cyp2c38	0	0	0	0	0	0
Cyp2c39	0	0	0	0	0	0
Cyp2c40	0	0	0	0	0	0
Cyp2c44	0	2	1	1	2	2
Cyp2c50	0	0	0	0	0	0
Cyp2c53-ps	0	0	0	0	0	0
Cyp2c54	0	0	0	0	0	0
Cyp2c55	0	0	0	0	0	0
Cyp2c65	0	0	0	0	0	0
Cyp2c66	0	0	0	0	0	0
Cyp2c67	0	0	0	0	0	0
Cyp2c68	0	0	0	0	2	2
Cyp2c69	0	0	0	0	0	0
Cyp2c70	11	14	3	16	4	15
Cyp2d10	0	0	0	0	1	0
Cyp2d11	0	0	0	0	0	0
Cyp2d12	0	0	0	0	0	0
Cyp2d13	0	0	0	0	0	0
Cyp2d22	15	19	7	33	12	16
Cyp2d26	0	1	0	0	0	0
Cyp2d34	0	0	0	0	0	0
Cyp2d37-ps	0	0	0	0	0	0
Cyp2d40	0	0	0	0	0	0
Cyp2d9	0	0	0	0	0	0
Cyp2e1	1	0	1	0	0	0
Cyp2f2	0	0	0	0	1	1
Cyp2g1	0	0	0	0	0	0
Cyp2j11	0	0	0	0	0	0
Cyp2j12	0	0	0	0	0	0
Cyp2j13	0	0	0	0	0	0
Cyp2j5	0	5	1	10	6	3
Cyp2j6	204	208	153	203	241	219
Cyp2j8	0	0	0	0	0	0
Cyp2j9	1	2	1	1	6	1
Cyp2r1	8	1	5	10	9	5
Cyp2s1	13	17	1	12	14	3
Cyp2t4	0	0	0	0	0	0
Cyp2u1	4	1	0	3	3	8
Cyp2w1	0	0	0	0	0	0
Cyp39a1	471	899	626	416	753	539
Cyp3a11	0	0	0	0	0	0
Cyp3a13	45	85	61	45	108	100
Cyp3a16	0	0	0	0	0	0
Cyp3a25	0	0	0	0	0	0
Cyp3a41a	0	0	0	0	0	0
Cyp3a41b	0	0	0	0	0	0
Cyp3a44	0	0	0	0	0	0
Cyp3a57	0	0	0	0	0	0
Cyp3a59	0	0	0	0	0	0
Cyp46a1	5	2	1	2	2	4
Cyp4a10	0	0	0	0	0	0
Cyp4a12a	0	0	0	0	0	0
Cyp4a12b	0	0	0	0	0	0
Cyp4a14	0	0	0	0	0	0
Cyp4a29-ps	0	0	0	0	0	0
Cyp4a30b-ps	0	0	0	0	0	0
Cyp4a31	0	0	0	0	0	0
Cyp4a32	0	0	0	0	0	0
Cyp4b1	3	1	0	3	0	1
Cyp4f13	68	57	55	47	63	61
Cyp4f14	8	8	3	12	9	6
Cyp4f15	1	4	1	5	1	3
Cyp4f16	18	7	3	16	17	20
Cyp4f17	27	31	13	15	16	24
Cyp4f18	0	0	2	5	0	1
Cyp4f39	0	0	0	0	1	0
Cyp4f40	0	0	0	0	0	0
Cyp4f41-ps	0	1	0	1	0	2
Cyp4v3	61	78	82	62	100	89
Cyp4x1	0	0	0	0	0	0
Cyp51	139	82	40	115	90	71
Cyp7a1	0	0	0	0	0	0
Cyp7b1	26	19	28	27	38	33
Cyp8b1	0	0	0	0	0	0
Cypt1	0	0	0	0	0	0
Cypt10	0	0	0	0	0	0
Cypt12	0	0	0	0	0	0
Cypt14	0	0	0	0	0	0
Cypt15	0	0	0	0	0	0
Cypt2-ps	0	0	0	0	0	0
Cypt3	0	0	0	0	0	0
Cypt4	0	0	0	0	0	0
Cypt7	0	0	0	0	0	0
Cypt8	0	0	0	0	0	0
Cypt9	0	0	0	0	0	0
Cyr61	78	272	61	348	214	387
Cys1	10	22	3	17	14	12
Cysltr1	1	2	0	6	0	0
Cysltr2	1	0	0	0	0	0
Cyth1	57	87	63	80	53	77
Cyth2	77	192	121	97	136	145
Cyth3	67	48	99	38	33	46
Cyth4	6	6	6	14	2	8
Cytip	239	292	121	324	225	245
Cytl1	1	0	0	8	2	2
Cyyr1	6	0	0	14	0	3
D030016E14Rik	220	193	154	118	178	176
D030018L15Rik	0	0	0	0	0	0
D030024E09Rik	0	0	0	0	0	0
D030025P21Rik	0	0	0	0	0	0
D030028A08Rik	87	67	76	34	57	72
D030040B21Rik	0	0	0	0	0	0
D030045P18Rik	0	0	0	0	0	0
D030047H15Rik	0	0	0	0	0	0
D030056L22Rik	18	31	28	36	29	33
D0H4S114	49	95	27	61	89	63
D10Bwg1379e	416	418	329	151	135	294
D10Jhu81e	305	280	251	241	302	227
D10Wsu102e	119	189	169	107	166	162
D10Wsu52e	1193	1475	1308	1299	1363	2237
D11Wsu47e	33	15	29	19	20	31
D11Wsu99e	60	67	34	50	69	56
D130009I18Rik	0	0	0	0	0	0
D130017N08Rik	1	3	3	0	1	1
D130020L05Rik	5	2	1	1	2	1
D130040H23Rik	6	5	10	6	10	3
D130043K22Rik	0	0	0	3	0	0
D14Abb1e	107	144	130	122	89	141
D14Ertd449e	0	0	0	0	0	0
D14Ertd668e	3	0	0	13	4	7
D15Ertd621e	728	905	727	590	836	831
D16Ertd472e	30	16	24	31	16	35
D16Ertd519e	0	0	0	0	0	0
D16H22S680E	70	72	50	74	80	47
D17H6S53E	40	45	35	18	42	28
D17H6S56E-3	3	1	0	0	0	1
D17Wsu104e	616	517	352	471	459	538
D17Wsu92e	759	717	476	444	557	597
D18Ertd653e	3	7	6	2	9	9
D19Bwg1357e	136	117	152	93	117	140
D19Ertd386e	61	66	52	54	55	78
D19Ertd737e	42	52	32	43	46	40
D19Wsu162e	529	676	415	295	545	486
D1Bwg0212e	130	120	120	94	134	132
D1Ertd622e	37	39	46	46	33	62
D1Pas1	5	3	5	6	0	4
D230025D16Rik	106	146	121	75	158	95
D230037D09Rik	72	63	50	51	65	82
D2Ertd750e	24	58	5	28	19	11
D2Wsu81e	101	111	61	43	65	105
D2hgdh	25	23	32	39	24	49
D330012F22Rik	31	40	30	15	30	35
D330023K18Rik	2	1	0	2	6	2
D330028D13Rik	32	43	22	18	24	20
D330041H03Rik	3	1	0	3	0	1
D330045A20Rik	0	0	1	2	0	0
D330050G23Rik	0	0	0	0	0	0
D330050I16Rik	1	0	0	1	1	0
D3Bwg0562e	0	1	0	0	0	0
D3Ertd254e	50	47	37	50	46	56
D3Ertd751e	46	33	48	38	42	38
D430019H16Rik	0	0	0	1	0	0
D430020J02Rik	2	1	5	0	2	4
D430036J16Rik	0	0	0	0	0	0
D430041D05Rik	0	0	0	1	0	0
D430042O09Rik	56	91	61	45	63	94
D430050G20	0	1	0	0	0	0
D4Bwg0951e	254	359	365	423	321	364
D4Ertd22e	253	260	120	167	203	201
D4Ertd617e	0	0	0	0	0	0
D4Wsu53e	203	433	233	172	166	271
D530049I02Rik	0	0	0	0	0	0
D5Ertd577e	0	0	0	0	0	0
D5Ertd579e	88	104	72	70	83	79
D5Ertd605e	0	0	0	0	0	0
D630003M21Rik	1	3	0	5	3	5
D630023F18Rik	0	0	0	0	0	0
D630029K05Rik	0	0	0	0	0	0
D630032N06Rik	0	1	0	0	0	0
D630033O11Rik	5	2	0	2	4	7
D630037F22Rik	33	18	18	21	28	11
D630039A03Rik	124	70	50	62	111	58
D630041G03Rik	0	0	0	1	0	0
D630042F21Rik	0	0	0	0	0	0
D630042P16Rik	0	0	0	0	0	0
D630045J12Rik	24	18	15	16	20	22
D6Ertd474e	0	0	1	0	0	1
D6Ertd527e	2	4	4	2	0	2
D6Mm5e	0	0	0	0	1	0
D6Wsu116e	160	200	183	122	167	173
D6Wsu163e	59	59	56	48	41	60
D730001G18Rik	0	0	1	0	2	0
D730005E14Rik	4	4	2	2	0	0
D730039F16Rik	15	15	9	13	8	19
D730040F13Rik	82	105	75	64	32	75
D730048I06Rik	0	0	0	0	0	0
D7Ertd443e	1	8	3	4	16	1
D7Ertd715e	22	38	13	26	15	48
D830005E20Rik	0	0	0	0	0	0
D830015G02Rik	0	0	0	0	0	0
D830030K20Rik	0	0	0	0	0	0
D830031N03Rik	58	45	38	32	19	35
D830046C22Rik	0	0	0	2	0	0
D8Ertd738e	289	278	221	222	261	307
D8Ertd82e	40	33	13	15	21	30
D930014E17Rik	33	25	21	24	33	35
D930015E06Rik	255	430	141	156	256	255
D930015M05Rik	0	0	0	0	0	0
D930016D06Rik	64	34	59	53	7	70
D930020B18Rik	19	21	10	7	13	14
D930020E02Rik	0	0	0	0	0	0
D930048N14Rik	12	11	1	3	13	7
D9Ertd402e	39	62	52	46	79	49
DXBay18	0	0	0	0	0	0
Daam1	69	72	76	51	82	86
Daam2	1	0	0	5	0	1
Dab1	13	6	6	15	5	11
Dab2	16	6	11	38	7	10
Dab2ip	71	106	26	61	41	63
Dach1	1	4	0	8	3	3
Dach2	3	2	8	6	4	8
Dact1	1	6	0	4	1	2
Dact2	50	35	24	22	39	30
Dact3	1	1	1	2	0	1
Dad1	922	854	569	840	802	955
Daf2	0	0	0	0	0	0
Dag1	1045	943	475	438	560	725
Dagla	484	549	146	179	324	284
Daglb	40	38	19	17	38	39
Dak	84	57	46	51	67	70
Dalrd3	114	155	61	60	68	124
Dand5	17	35	10	16	25	16
Dao	0	0	0	0	0	0
Dap	4511	3880	2587	2413	3806	3990
Dap3	91	109	88	72	95	125
Dapk1	85	84	53	73	77	100
Dapk2	79	77	24	47	77	63
Dapk3	80	88	69	50	62	88
Dapl1	0	1	0	0	0	0
Dapp1	40	36	20	33	35	45
Darc	1	1	1	10	1	3
Dars	374	321	363	341	397	465
Dars2	62	45	56	54	60	60
Daxx	62	71	49	37	57	80
Dazap1	105	97	77	71	96	97
Dazap2	359	465	296	410	418	341
Dazl	3	2	2	0	1	0
Dbc1	0	0	0	0	0	0
Dbf4	25	33	13	33	23	23
Dbh	0	0	0	0	0	0
Dbi	617	457	300	741	599	585
Dbil5	0	0	0	1	0	0
Dbn1	2	3	2	8	3	2
Dbndd1	0	0	0	0	0	0
Dbndd2	22	22	20	20	19	40
Dbnl	133	124	88	95	106	118
Dbp	9	59	5	13	28	17
Dbpht2	6	5	2	9	10	9
Dbr1	42	36	33	46	24	62
Dbt	1105	1257	1277	919	1357	874
Dbx1	0	0	0	0	0	0
Dbx2	0	0	0	0	0	0
Dcaf10	235	235	238	154	170	210
Dcaf11	848	804	626	620	817	818
Dcaf12	244	235	244	199	261	252
Dcaf12l1	5	5	4	3	10	14
Dcaf12l2	0	0	0	0	1	0
Dcaf13	99	82	115	100	125	160
Dcaf15	27	32	13	13	12	25
Dcaf17	29	52	35	32	41	38
Dcaf4	27	30	17	15	32	29
Dcaf5	172	178	122	112	152	197
Dcaf6	107	172	124	117	118	146
Dcaf7	231	267	185	173	186	232
Dcaf8	561	581	417	336	497	507
Dcakd	62	73	48	43	46	52
Dcbld1	144	197	65	98	158	116
Dcbld2	4	3	9	13	14	8
Dcc	0	0	0	0	0	0
Dcdc2a	57	120	51	273	78	145
Dcdc2b	0	0	0	0	0	0
Dcdc2c	0	0	0	0	0	0
Dchs1	4	1	0	8	1	2
Dck	54	36	15	36	29	37
Dclk1	2	7	5	8	6	7
Dclk2	2	5	0	0	0	1
Dclk3	26	101	11	13	85	18
Dclre1a	57	76	41	52	63	76
Dclre1b	37	29	27	18	29	26
Dclre1c	17	21	22	20	16	32
Dcn	74	31	97	647	20	121
Dcp1a	75	67	42	49	40	59
Dcp1b	13	15	10	12	9	20
Dcp2	50	41	39	27	22	56
Dcpp1	0	0	0	0	0	0
Dcpp2	0	0	0	0	0	0
Dcpp3	0	0	0	0	0	0
Dcps	41	41	41	50	41	53
Dcst1	0	0	0	0	0	0
Dct	0	0	0	0	1	0
Dctd	13	5	6	15	18	22
Dctn1	313	314	154	106	211	219
Dctn2	392	512	277	276	404	412
Dctn3	101	111	81	94	79	121
Dctn4	148	149	126	103	157	208
Dctn5	171	203	145	164	218	202
Dctn6	96	88	99	85	124	113
Dctpp1	149	152	95	80	114	105
Dcun1d1	101	89	98	86	114	135
Dcun1d2	88	107	115	76	95	97
Dcun1d3	69	92	75	63	71	97
Dcun1d4	118	88	77	59	104	103
Dcun1d5	174	172	193	163	162	209
Dcx	8	19	7	21	9	5
Dcxr	80	116	67	64	77	94
Dda1	131	134	92	88	101	137
Ddah1	1	0	1	2	0	1
Ddah2	11	21	3	29	9	17
Ddb1	1382	1486	1108	996	1205	1484
Ddb2	35	39	11	22	25	36
Ddc	219	255	87	153	262	245
Ddhd1	68	86	57	57	59	81
Ddhd2	131	200	106	94	105	172
Ddi1	0	0	0	0	0	0
Ddi2	43	35	37	16	18	49
Ddit3	43	66	8	51	28	84
Ddit4	412	189	583	401	237	535
Ddit4l	12	11	1	28	10	27
Ddn	0	0	3	0	0	0
Ddo	47	67	78	71	102	73
Ddost	1471	1276	670	958	1160	1226
Ddr1	282	331	139	166	209	275
Ddr2	15	8	3	34	4	17
Ddrgk1	445	503	252	293	333	436
Ddt	187	164	97	113	134	120
Ddx1	410	426	363	307	441	490
Ddx10	61	60	66	59	55	74
Ddx11	45	59	18	33	37	36
Ddx17	946	1155	1024	724	591	1323
Ddx18	31	40	62	37	51	53
Ddx19a	78	116	76	64	98	105
Ddx19b	69	89	76	61	55	78
Ddx20	188	192	137	124	158	198
Ddx21	407	351	411	298	284	491
Ddx23	242	253	164	131	164	250
Ddx24	238	202	203	165	209	302
Ddx25	2	1	0	1	1	1
Ddx26b	208	249	180	185	149	306
Ddx27	149	143	101	69	105	139
Ddx28	49	53	38	40	66	55
Ddx31	30	35	36	24	18	57
Ddx39	107	128	82	80	92	157
Ddx39b	315	380	276	202	260	402
Ddx3x	1955	1689	2146	2130	1700	2055
Ddx3y	285	301	1	0	1	298
Ddx4	3	0	0	1	1	0
Ddx41	126	110	87	87	98	150
Ddx42	197	207	224	127	150	241
Ddx43	0	0	0	0	0	0
Ddx46	346	304	256	240	268	292
Ddx47	160	201	133	134	149	198
Ddx49	159	131	124	101	149	181
Ddx5	1451	1813	1581	1623	1536	1981
Ddx50	343	313	291	331	285	377
Ddx51	60	76	73	47	49	66
Ddx52	106	125	98	106	77	133
Ddx54	335	384	272	171	272	269
Ddx55	80	132	64	63	85	110
Ddx56	203	182	140	136	119	190
Ddx58	65	36	28	48	35	114
Ddx59	23	17	17	13	12	9
Ddx6	783	743	632	498	542	737
Ddx60	3	4	1	10	2	11
Deaf1	268	284	158	169	227	239
Dear1	0	0	0	0	0	0
Deb1	123	188	153	206	182	196
Decr1	169	208	195	242	228	247
Decr2	96	101	72	75	105	85
Dedd	90	104	77	81	96	108
Dedd2	59	48	42	45	51	45
Def6	11	4	0	9	6	10
Def8	152	139	160	90	136	122
Defa-ps1	0	0	0	0	0	0
Defa-ps12	0	0	0	0	0	0
Defa-ps13	0	0	0	0	0	0
Defa-rs1	0	0	0	0	0	0
Defa-rs7	0	0	0	0	0	0
Defa17	0	0	0	0	0	0
Defa20	0	0	0	0	0	0
Defa21	0	0	0	0	0	0
Defa22	0	0	0	0	0	1
Defa23	0	0	0	0	0	0
Defa24	0	0	0	0	0	0
Defa25	0	0	0	0	0	0
Defa26	0	0	0	0	0	0
Defa3	0	0	0	0	0	0
Defa4	0	0	0	0	0	0
Defa5	0	0	0	0	0	0
Defa6	0	0	0	0	0	0
Defb1	4	4	0	2	0	2
Defb10	0	0	0	0	0	0
Defb11	0	0	0	0	0	0
Defb12	0	0	0	0	0	0
Defb13	0	0	0	0	0	0
Defb14	0	0	0	0	0	0
Defb15	0	0	0	0	0	0
Defb18	0	0	0	0	0	0
Defb19	0	0	0	0	0	0
Defb2	0	0	0	0	0	0
Defb20	0	0	0	0	0	0
